rank,company,headquarters,state,subtype,industries
137,CDW,"Vernon Hills, Illinois",Illinois,company,Business Services & Supplies
138,Hilton,"McLean, Virginia",Virginia,company,Travel & Leisure
139,Alaska Airlines,"Seattle, Washington",Washington,company,Transportation and Logistics
140,Walt Disney,"Burbank, California",California,company,Media & Advertising
141,MUSC Health,"Charleston, South Carolina",South Carolina,company,Healthcare & Social
142,Vanguard,"Valley Forge, Pennsylvania",Pennsylvania,company,Banking and Financial Services
143,Land O'Lakes,"Arden Hills, Minnesota",Minnesota,company,"Food, Soft Beverages, Alcohol & Tobacco"
144,Northside Independent School District,"San Antonio, Texas",Texas,company,Education
145,Oregon Health & Science University,"Portland, Oregon",Oregon,company,Education
146,UC Davis Health System,"Sacramento, California",California,company,Healthcare & Social
147,Four Seasons Hotels and Resorts,Toronto,NA,company,Travel & Leisure
148,CarMax,"Richmond, Virginia",Virginia,company,Retail and Wholesale
149,WL Gore & Associates,"Newark, Delaware",Delaware,company,"Engineering, Manufacturing"
150,Icahn School of Medicine at Mount Sinai,"New York, New York",New York,company,Education
151,Hallmark Cards,"Kansas City, Missouri",Missouri,company,Packaged Goods
152,"SUNY, Stony Brook (Stony Brook University)","Stony Brook, New York",New York,college,Education
153,loanDepot.com,"Foothill Ranch, California",California,company,Banking and Financial Services
154,Nike,"Beaverton, Oregon",Oregon,company,"Clothing, Shoes, Sports Equipment"
155,Delta Air Lines,"Atlanta, Georgia",Georgia,company,Transportation and Logistics
156,Rockwell Automation,"Milwaukee, Wisconsin",Wisconsin,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
157,Bayer,"Whippany, New Jersey",New Jersey,company,Drugs & Biotechnology
158,Raytheon,"Waltham, Massachusetts",Massachusetts,company,Aerospace & Defense
159,Expedia,"Bellevue, Washington",Washington,company,Travel & Leisure
160,Turner Industries Group,"Baton Rouge, Louisiana",Louisiana,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
161,Turner Corp,"New York, New York",New York,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
162,Whole Foods Market,"Austin, Texas",Texas,company,Retail and Wholesale
163,University of Michigan Health System,"Ann Arbor, Michigan",Michigan,company,Healthcare & Social
164,Vanderbilt University,"Nashville, Tennessee",Tennessee,college,Education
165,QuikTrip,"Tulsa, Oklahoma",Oklahoma,company,Retail and Wholesale
166,Iowa State University,"Ames, Iowa",Iowa,college,Education
167,Ford Motor,"Dearborn, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
168,Northwestern Medicine,"Chicago, Illinois",Illinois,company,Healthcare & Social
169,Adobe Systems,"San Jose, California",California,company,"IT, Internet, Software & Services"
170,AstraZeneca,"Wilmington, Delaware",Delaware,company,Drugs & Biotechnology
171,North East Independent School District,"San Antonio, Texas",Texas,company,Education
172,The Children's Hospital of Philadelphia,"Philadelphia, Pennsylvania",Pennsylvania,company,Healthcare & Social
173,Saputo Cheese,"Lincolnshire, Illinois",Illinois,company,"Food, Soft Beverages, Alcohol & Tobacco"
174,Intel,"Santa Clara, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
175,Plano Independent School District,"Plano, Texas",Texas,company,Education
176,Con Edison,"New York, New York",New York,company,Utilities
177,Sentara Healthcare,"Norfolk, Virginia",Virginia,company,Healthcare & Social
178,Gwinnett County Public Schools (GCPS),"Suwanee, Georgia",Georgia,company,Education
179,Starbucks,"Seattle, Washington",Washington,company,Restaurants
180,Jabil Circuit,"St. Petersburg, Florida",Florida,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
181,Tampa General Hospital,"Tampa, Florida",Florida,company,Healthcare & Social
182,Olin,"Clayton, Missouri",Missouri,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
183,Navient,"Wilmington, Delaware",Delaware,company,Banking and Financial Services
184,Burns & McDonnell Engineering,"Kansas City, Missouri",Missouri,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
185,Orange County,"Santa Ana, California",California,company,Government Services
186,Hyatt Hotels,"Chicago, Illinois",Illinois,company,Travel & Leisure
187,Reyes Holdings,"Rosemont, Illinois",Illinois,company,"Food, Soft Beverages, Alcohol & Tobacco"
188,Abbott Laboratories,"Abbott Park, Illinois",Illinois,company,Health Care Equipment & Services
