"year","list","position","rank","name","last_name","net_worth.millions","age","source","industry","gender","squareImage","url.bio.forbes","url.image"
2016,"India 50",47,47,"B.R. Shetty","Shetty",2510,76,"healthcare","Healthcare","M","//specials-images.forbesimg.com/imageserve/56cafcc7e4b062f6b59a354a/416x416.jpg?background=000000&cropX1=56&cropX2=703&cropY1=93&cropY2=741","http://www.forbes.com/profile/br-shetty","http://i.forbesimg.com/media/lists/people/br-shetty_200x200.jpg"
2016,"India 50",48,48,"Acharya Balkrishna","Balkrishna",2500,45,"consumer goods","Food and Beverage","M","//specials-images.forbesimg.com/imageserve/5a7f023c4bbe6f2652f52cbd/416x416.jpg?background=000000&cropX1=90&cropX2=3361&cropY1=0&cropY2=3269","http://www.forbes.com/profile/acharya-balkrishna","http://i.forbesimg.com/media/lists/people/acharya-balkrishna_200x200.jpg"
2016,"India 50",49,49,"Abhay Vakil","Vakil",2450,67,"Paints","Manufacturing","M",NA,"http://www.forbes.com/profile/abhay-vakil","http://i.forbesimg.com/media/lists/people/abhay-vakil_200x200.jpg"
2016,"India 50",50,50,"Chandru Raheja","Raheja",2400,77,"real estate","Real Estate","M","http://specials-images.forbesimg.com/imageserve/b1bde4b8d73f0d81377ba1c1a1f1c9d1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=2&cropY2=746","http://www.forbes.com/profile/chandru-raheja","http://i.forbesimg.com/media/lists/people/chandru-raheja_200x200.jpg"
2016,"India 50",51,51,"Baba Kalyani","Kalyani",2250,69,"engineering","Construction & Engineering","M","//specials-images.forbesimg.com/imageserve/57d88af331358e16c5898fd0/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=250&cropY2=993","http://www.forbes.com/profile/baba-kalyani","http://i.forbesimg.com/media/lists/people/baba-kalyani_200x200.jpg"
2016,"India 50",52,52,"Karsanbhai Patel","Patel",2240,74,"consumer goods","Diversified","M","//specials-images.forbesimg.com/imageserve/5a7f27bf31358e4955ad18fa/416x416.jpg?background=000000&cropX1=6&cropX2=1367&cropY1=376&cropY2=1737","http://www.forbes.com/profile/karsanbhai-patel","http://i.forbesimg.com/media/lists/people/karsanbhai-patel_200x200.jpg"
2016,"India 50",53,53,"Rakesh Jhunjhunwala","Jhunjhunwala",2200,58,"investments","Finance and Investments","M","//specials-images.forbesimg.com/imageserve/5a7f45e84bbe6f2652f52fe8/416x416.jpg?background=000000&cropX1=642&cropX2=2976&cropY1=232&cropY2=2564","http://www.forbes.com/profile/rakesh-jhunjhunwala","http://i.forbesimg.com/media/lists/people/rakesh-jhunjhunwala_200x200.jpg"
2016,"India 50",54,54,"Reddy Family","Reddy",2150,NA,"Pharma","Healthcare","M","//specials-images.forbesimg.com/imageserve/59cc1ce1a7ea434a34f46d97/416x416.jpg?background=000000&cropX1=778&cropX2=4493&cropY1=32&cropY2=3744","http://www.forbes.com/profile/reddy-family","http://i.forbesimg.com/media/lists/people/reddy-family_200x200.jpg"
2016,"India 50",55,55,"Amalgamations family","Amalgamations",2100,NA,"tractors","Manufacturing",NA,"http://specials-images.forbesimg.com/imageserve/57dc42ed31358e16c589a734/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=324&cropY2=1068","http://www.forbes.com/profile/amalgamations","http://i.forbesimg.com/media/lists/people/amalgamations_200x200.jpg"
2016,"India 50",56,56,"Mangal Prabhat Lodha","Lodha",2050,62,"real estate","Real Estate","M","//specials-images.forbesimg.com/imageserve/0ca251e6fe15d8e2d071c859d2cb26bc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=122&cropY2=866","http://www.forbes.com/profile/mangal-prabhat-lodha","http://i.forbesimg.com/media/lists/people/mangal-prabhat-lodha_200x200.jpg"
